Month,Place,Outdoor.Temperatures
Jan,1.Concord,51.1
Jan,1.Concord,50.7
Jan,1.Concord,50.9
Jan,1.Concord,51.3
Jan,1.Concord,52
Jan,1.Concord,52.2
Jan,1.Concord,53.1
Jan,1.Concord,53.6
Jan,1.Concord,56.8
Jan,1.Concord,56.1
Jan,1.Concord,56.8
Jan,1.Concord,55.8
Jan,1.Concord,54.9
Jan,1.Concord,54
Jan,1.Concord,52.9
Jan,1.Concord,51.8
Jan,1.Concord,50.9
Jan,1.Concord,50
Jan,1.Concord,49.8
Jan,1.Concord,48.7
Jan,1.Concord,48
Jan,1.Concord,47.8
Jan,1.Concord,46.8
Jan,1.Concord,44.6
Jan,1.Concord,41.9
Jan,1.Concord,40.8
Jan,1.Concord,39.7
Jan,1.Concord,37.9
Jan,1.Concord,38.7
Jan,1.Concord,44.6
Jan,1.Concord,49.1
Jan,1.Concord,51.4
Jan,1.Concord,54.1
Jan,1.Concord,55.9
Jan,1.Concord,56.1
Jan,1.Concord,56.8
Jan,1.Concord,56.5
Jan,1.Concord,55.4
Jan,1.Concord,54.7
Jan,1.Concord,51.8
Jan,1.Concord,50.2
Jan,1.Concord,50.4
Jan,1.Concord,49.5
Feb,1.Concord,48.7
Feb,1.Concord,49.1
Feb,1.Concord,49.3
Feb,1.Concord,49.5
Feb,1.Concord,49.1
Feb,1.Concord,48
Feb,1.Concord,51.1
Feb,1.Concord,51.3
Feb,1.Concord,51.8
Feb,1.Concord,53.1
Feb,1.Concord,55.8
Feb,1.Concord,57.9
Feb,1.Concord,59.2
Feb,1.Concord,60.3
Feb,1.Concord,61.2
Feb,1.Concord,62.1
Feb,1.Concord,61.9
Feb,1.Concord,60.8
Feb,1.Concord,59.5
Feb,1.Concord,58.6
Feb,1.Concord,55.6
Feb,1.Concord,52.9
Feb,1.Concord,50.9
Feb,1.Concord,49.6
Feb,1.Concord,46.8
Feb,1.Concord,44.8
Feb,1.Concord,43.7
Feb,1.Concord,40.8
Feb,1.Concord,39.7
Feb,1.Concord,39
Feb,1.Concord,38.8
Feb,1.Concord,37
Feb,1.Concord,37
Feb,1.Concord,37.9
Feb,1.Concord,46.2
Feb,1.Concord,55.4
Feb,1.Concord,58.8
Feb,1.Concord,60.1
Feb,1.Concord,62.2
Feb,1.Concord,63.1
Feb,1.Concord,63.9
Feb,1.Concord,63.3
Feb,1.Concord,61.3
Feb,1.Concord,59.5
Feb,1.Concord,54.7
Feb,1.Concord,51.8
Feb,1.Concord,50.7
Feb,1.Concord,47.8
Feb,1.Concord,45.9
Feb,1.Concord,44.8
Feb,1.Concord,43.5
Feb,1.Concord,39
Feb,1.Concord,39
Feb,1.Concord,39.9
Feb,1.Concord,46.2
Feb,1.Concord,40.8
Feb,1.Concord,40.1
Feb,1.Concord,41.9
Feb,1.Concord,48.7
Feb,1.Concord,54
Feb,1.Concord,54.1
Feb,1.Concord,56.3
Feb,1.Concord,59.2
Feb,1.Concord,60.3
Feb,1.Concord,61
Feb,1.Concord,61.2
Feb,1.Concord,60.4
Feb,1.Concord,59.5
Feb,1.Concord,55.2
Feb,1.Concord,49.6
Feb,1.Concord,46.8
Feb,1.Concord,45.9
Feb,1.Concord,44.8
Feb,1.Concord,42.8
Feb,1.Concord,41.7
Feb,1.Concord,38.8
Feb,1.Concord,37.8
Feb,1.Concord,36.9
Feb,1.Concord,36
Feb,1.Concord,35.8
Feb,1.Concord,35.2
Feb,1.Concord,36.9
Feb,1.Concord,43.9
Feb,1.Concord,51.6
Feb,1.Concord,56.1
Feb,1.Concord,58.3
Feb,1.Concord,61.2
Feb,1.Concord,63
Feb,1.Concord,62.8
Feb,1.Concord,62.6
Feb,1.Concord,61
Feb,1.Concord,59.5
Feb,1.Concord,55.4
Feb,1.Concord,51.8
Feb,1.Concord,51.3
Feb,1.Concord,53.2
Feb,1.Concord,53.6
Feb,1.Concord,50.9
Feb,1.Concord,49.8
Feb,1.Concord,48.4
Feb,1.Concord,43.9
Feb,1.Concord,43.3
Feb,1.Concord,45.3
Feb,1.Concord,39.7
Feb,1.Concord,39.2
Feb,1.Concord,42.1
Feb,1.Concord,50.4
Feb,1.Concord,53.4
Feb,1.Concord,56.1
Feb,1.Concord,58.1
Feb,1.Concord,59
Feb,1.Concord,59.2
Feb,1.Concord,59.9
Feb,1.Concord,59.5
Feb,1.Concord,59
Feb,1.Concord,58.6
Feb,1.Concord,55
Feb,1.Concord,48.7
Feb,1.Concord,46.6
Feb,1.Concord,44.1
Feb,1.Concord,43.7
Feb,1.Concord,41
Feb,1.Concord,40.6
Feb,1.Concord,37.8
Feb,1.Concord,36.9
Feb,1.Concord,35.2
Feb,1.Concord,36.7
Feb,1.Concord,33.8
Feb,1.Concord,33.3
Feb,1.Concord,36.1
Feb,1.Concord,45.3
Feb,1.Concord,48.4
